;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"";"Iteration1";"Iteration2";"Iteration3";"Iteration4";"Iteration5";"Iteration6";"Iteration7";"Iteration8";"Iteration9";"Iteration10"
"WorstSolution";"150,52218561857399";"150,54469467255254";"149,7818188684623";"150,42632519240803";"151,1624400722694";"149,0532754239308";"149,1229138887647";"148,67116813384737";"148,47229272835642";"149,98158055841148"
"Average";"222,41594564166104";"215,06451271697588";"214,55693483170353";"217,2898768827578";"216,89071962335157";"212,74281101129668";"202,3370988744319";"214,8966441835326";"217,27148088809412";"207,2687116623547"
"StandardDeviation";"36,522577274063885";"35,527496672954676";"49,52456846275567";"36,176462436363515";"32,25820637169743";"31,252964087912286";"29,44928806958551";"32,0569902857111";"39,714677970776535";"28,388675320801305"
"Solucao Elitista";"301,9829234642751";"301,9829234642751";"301,9829234642751";"301,9829234642751";"301,9829234642751";"301,9829234642751";"301,9829234642751";"301,9829234642751";"301,9829234642751";"301,9829234642751";;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"";"Iteration1";"Iteration2";"Iteration3";"Iteration4";"Iteration5";"Iteration6";"Iteration7";"Iteration8";"Iteration9";"Iteration10"
"BetterSolution";"251,55117536656238";"251,24439315582612";"251,35510087561462";"299,28102370343464";"250,61132708389212";"298,71769918864544";"297,8553171621219";"300,81650088399635";"299,1854808776635";"299,5774963308373"
"WorstSolution";"150,19766370976754";"150,31184552302196";"149,80913360452982";"149,44244904205783";"150,02516211835038";"148,11624872317836";"150,74445636250172";"149,19158697250774";"149,75118816607053";"150,74445636250172"
"Average";"217,1271847140701";"202,6619642876713";"207,3484212624795";"221,96815304112647";"209,89097339913943";"214,78862354750586";"219,65641849611637";"217,5406107877458";"232,03255906511694";"224,65848513382872"
"StandardDeviation";"28,394986450961778";"25,049959900672732";"32,232175687588935";"39,89046512743909";"33,234193508515666";"35,36490261167577";"32,734961956026254";"47,949710602907494";"36,056042675904436";"33,61736683141723"
"Solucao Elitista";"301,9829234642751";"301,9829234642751";"301,9829234642751";"301,9829234642751";"301,9829234642751";"301,9829234642751";"301,9829234642751";"301,9829234642751";"301,9829234642751";"301,9829234642751";;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"";"Iteration1";"Iteration2";"Iteration3";"Iteration4";"Iteration5";"Iteration6";"Iteration7";"Iteration8";"Iteration9";"Iteration10"
"BetterSolution";"298,8081565489494";"299,646603464275";"298,7955283703993";"251,35114428252123";"300,31121247727594";"299,04350539878556";"250,3645138636194";"297,71730507990605";"299,3446471813067";"298,7992997269408"
"WorstSolution";"149,1317707107733";"149,3121814783564";"149,98158055841148";"150,63138067631508";"149,9745794374907";"151,07038736402922";"149,0532754239308";"149,0318939219192";"199,08508363991953";"149,57874121218885"
